FPrate,Sensivity[Mean],Sensivity[Lower bound],Sensivity[Upper bound]
0.125000000,0.088599108,0.064597316,0.111764707
0.125787579,0.088599108,0.064597316,0.111764707
0.126575158,0.088674411,0.064597316,0.111764707
0.127362736,0.088734940,0.064597316,0.111764707
0.128150315,0.088734940,0.064597316,0.111764707
0.128937894,0.088786013,0.064597316,0.111831442
0.129725473,0.088837110,0.064597316,0.112061590
0.130513051,0.088837110,0.064597316,0.112061590
0.131300630,0.088871717,0.064597316,0.112061590
0.132088209,0.088917352,0.064597316,0.112061590
0.132875788,0.088917352,0.064597316,0.112061590
0.133663366,0.088959128,0.064597316,0.112061590
0.134450945,0.089010909,0.064597316,0.112173915
0.135238524,0.089051247,0.064597316,0.112290010
0.136026103,0.089051247,0.064597316,0.112290010
0.136813681,0.089081876,0.064597316,0.112303883
0.137601260,0.089124277,0.064601772,0.112741314
0.138388839,0.089124277,0.064601772,0.112741314
0.139176418,0.089159906,0.064601772,0.112833761
0.139963996,0.089204468,0.064601772,0.112833761
0.140751575,0.089204468,0.064601772,0.112833761
0.141539154,0.089244090,0.064601772,0.112833761
0.142326733,0.089276515,0.064601772,0.112833761
0.143114311,0.089311942,0.064601772,0.112833761
0.143901890,0.089311942,0.064601772,0.112833761
0.144689469,0.089342929,0.064601772,0.113043480
0.145477048,0.089383908,0.065436244,0.113043480
0.146264626,0.089383908,0.065436244,0.113043480
0.147052205,0.089406721,0.065436244,0.113043480
0.147839784,0.089425065,0.065436244,0.113043480
0.148627363,0.089425065,0.065436244,0.113043480
0.149414941,0.089457929,0.065486729,0.113043480
0.150202520,0.089476585,0.065486729,0.113043480
0.150990099,0.089492194,0.065486729,0.113043480
0.151777678,0.089492194,0.065486729,0.113043480
0.152565257,0.089505084,0.065486729,0.113807529
0.153352835,0.089517742,0.065486729,0.113980412
0.154140414,0.089517742,0.065486729,0.113980412
0.154927993,0.089534581,0.065486729,0.113980412
0.155715572,0.089551270,0.065486729,0.113980412
0.156503150,0.089551270,0.065486729,0.113980412
0.157290729,0.089571409,0.065486729,0.114058353
0.158078308,0.089584619,0.065486729,0.114081994
0.158865887,0.089600831,0.065486729,0.114081994
0.159653465,0.089600831,0.065486729,0.114081994
0.160441044,0.089616515,0.065486729,0.114081994
0.161228623,0.089636020,0.065486729,0.114159293
0.162016202,0.089636020,0.065486729,0.114159293
0.162803780,0.089651912,0.065486729,0.114159293
0.163591359,0.089667924,0.065486729,0.114159293
0.164378938,0.089667924,0.065486729,0.114159293
0.165166517,0.089686438,0.065486729,0.114357263
0.165954095,0.089696504,0.065486729,0.114357263
0.166741674,0.089708194,0.065486729,0.114357263
0.167529253,0.089708194,0.065486729,0.114357263
0.168316832,0.089729421,0.065486729,0.114357263
0.169104410,0.089742005,0.065486729,0.114357263
0.169891989,0.089742005,0.065486729,0.114357263
0.170679568,0.089750677,0.065486729,0.114357263
0.171467147,0.089762956,0.065486729,0.114357263
0.172254725,0.089762956,0.065486729,0.114357263
0.173042304,0.089774810,0.065486729,0.114357263
0.173829883,0.089784957,0.065486729,0.114357263
0.174617462,0.089799322,0.065486729,0.114357263
0.175405041,0.089799322,0.065486729,0.114357263
0.176192619,0.089811027,0.065486729,0.114357263
0.176980198,0.089824811,0.065486729,0.114357263
0.177767777,0.089824811,0.065486729,0.114357263
0.178555356,0.089839257,0.065486729,0.114357263
0.179342934,0.089857891,0.065486729,0.114357263
0.180130513,0.089857891,0.065486729,0.114357263
0.180918092,0.089868799,0.065486729,0.114357263
0.181705671,0.089882366,0.065486729,0.114357263
0.182493249,0.089899093,0.065486729,0.114357263
0.183280828,0.089899093,0.065486729,0.114357263
0.184068407,0.089918949,0.065486729,0.114357263
0.184855986,0.089936703,0.065486729,0.114357263
0.185643564,0.089936703,0.065486729,0.114357263
0.186431143,0.089954071,0.065486729,0.114357263
0.187218722,0.089978896,0.065486729,0.114357263
0.188006301,0.089978896,0.065486729,0.114357263
0.188793879,0.089990914,0.065486729,0.114357263
0.189581458,0.090000376,0.065486729,0.114357263
0.190369037,0.090005539,0.065486729,0.114357263
0.191156616,0.090005539,0.065486729,0.114357263
0.191944194,0.090015702,0.065486729,0.114357263
0.192731773,0.090038039,0.065486729,0.114357263
0.193519352,0.090038039,0.065486729,0.114357263
0.194306931,0.090057127,0.065486729,0.114357263
0.195094509,0.090086527,0.065486729,0.114357263
0.195882088,0.090086527,0.065486729,0.114357263
0.196669667,0.090100892,0.065486729,0.114357263
0.197457246,0.090115182,0.065486729,0.114357263
0.198244824,0.090132922,0.065486729,0.114357263
0.199032403,0.090132922,0.065486729,0.114357263
0.199819982,0.090142965,0.065486729,0.114357263
0.200607561,0.090153120,0.065486729,0.114357263
0.201395140,0.090153120,0.065486729,0.114357263
0.202182718,0.090168349,0.065486729,0.114357263
0.202970297,0.090179332,0.065486729,0.114357263
0.203757876,0.090179332,0.065486729,0.114357263
0.204545455,0.090185218,0.065486729,0.114357263
0.205333033,0.090195388,0.065486729,0.114357263
0.206120612,0.090214722,0.065486729,0.114357263
0.206908191,0.090214722,0.065486729,0.114357263
0.207695770,0.090224899,0.065486729,0.114357263
0.208483348,0.090236560,0.065486729,0.114357263
0.209270927,0.090236560,0.065486729,0.114357263
0.210058506,0.090246722,0.065486729,0.114357263
0.210846085,0.090259477,0.065486729,0.114713214
0.211633663,0.090259477,0.065486729,0.114713214
0.212421242,0.090270162,0.065486729,0.114713214
0.213208821,0.090279438,0.065486729,0.114713214
0.213996400,0.090288058,0.065486729,0.114713214
0.214783978,0.090288058,0.065486729,0.114713214
0.215571557,0.090308756,0.065486729,0.114782609
0.216359136,0.090321817,0.065486729,0.114782609
0.217146715,0.090321817,0.065486729,0.114782609
0.217934293,0.090346299,0.065486729,0.114782609
0.218721872,0.090360999,0.065486729,0.114782609
0.219509451,0.090360999,0.065486729,0.114782609
0.220297030,0.090375848,0.065486729,0.114782609
0.221084608,0.090395398,0.065486729,0.114782609
0.221872187,0.090406969,0.065486729,0.114782609
0.222659766,0.090406969,0.065486729,0.114782609
0.223447345,0.090417132,0.065486729,0.114782609
0.224234923,0.090426393,0.065486729,0.114782609
0.225022502,0.090426393,0.065486729,0.114782609
0.225810081,0.090438165,0.065486729,0.114782609
0.226597660,0.090442307,0.065486729,0.114782609
0.227385239,0.090442307,0.065486729,0.114782609
0.228172817,0.090449765,0.065486729,0.114782609
0.228960396,0.090465546,0.065486729,0.114782609
0.229747975,0.090475060,0.065486729,0.114942528
0.230535554,0.090475060,0.065486729,0.114942528
0.231323132,0.090485156,0.065486729,0.114942528
0.232110711,0.090498544,0.066045724,0.114942528
0.232898290,0.090498544,0.066045724,0.114942528
0.233685869,0.090505384,0.066045724,0.114942528
0.234473447,0.090516314,0.066045724,0.114942528
0.235261026,0.090516314,0.066045724,0.114942528
0.236048605,0.090524733,0.066045724,0.114942528
0.236836184,0.090533979,0.066045724,0.114942528
0.237623762,0.090546988,0.066045724,0.114942528
0.238411341,0.090546988,0.066045724,0.114942528
0.239198920,0.090558715,0.066045724,0.114942528
0.239986499,0.090568908,0.066045724,0.114942528
0.240774077,0.090568908,0.066045724,0.114942528
0.241561656,0.090577178,0.066045724,0.114942528
0.242349235,0.090588897,0.066045724,0.114942528
0.243136814,0.090588897,0.066045724,0.114942528
0.243924392,0.090601787,0.066045724,0.115044251
0.244711971,0.090613827,0.066045724,0.115044251
0.245499550,0.090629272,0.066045724,0.115044251
0.246287129,0.090629272,0.066045724,0.115044251
0.247074707,0.090646878,0.066045724,0.115044251
0.247862286,0.090666413,0.066045724,0.115044251
0.248649865,0.090666413,0.066045724,0.115044251
0.249437444,0.090678237,0.066045724,0.115044251
0.250225023,0.090684980,0.066045724,0.115044251
0.251012601,0.090684980,0.066045724,0.115044251
0.251800180,0.090689376,0.066045724,0.115044251
0.252587759,0.090704836,0.066045724,0.115606934
0.253375338,0.090704836,0.066045724,0.115606934
0.254162916,0.090723738,0.066045724,0.115606934
0.254950495,0.090731382,0.066045724,0.115606934
0.255738074,0.090740740,0.066045724,0.115606934
0.256525653,0.090740740,0.066045724,0.115606934
0.257313231,0.090745665,0.066045724,0.115606934
0.258100810,0.090759955,0.066045724,0.115606934
0.258888389,0.090759955,0.066045724,0.115606934
0.259675968,0.090779126,0.066275164,0.115606934
0.260463546,0.090792067,0.066275164,0.115606934
0.261251125,0.090792067,0.066275164,0.115606934
0.262038704,0.090810090,0.066820279,0.115606934
0.262826283,0.090818577,0.066820279,0.115606934
0.263613861,0.090829559,0.066820279,0.115606934
0.264401440,0.090829559,0.066820279,0.115606934
0.265189019,0.090840414,0.066820279,0.115606934
0.265976598,0.090856947,0.066820279,0.115606934
0.266764176,0.090856947,0.066820279,0.115606934
0.267551755,0.090869889,0.066820279,0.115606934
0.268339334,0.090884529,0.066820279,0.115606934
0.269126913,0.090884529,0.066820279,0.115606934
